Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
ON,1,12.4,0.0,0.0,1.0,0.0,29.9,37,30.0,-29.3,-35,-30.0,0.0,1.0,92.2,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,32.0,35,30.0,-30.3,-33,-30.0,0.0,1.0,92.4,0.0
ON,1,9.7,0.0,0.0,1.0,0.0,30.4,35,30.0,-29.3,-33,-30.0,0.0,1.0,92.9,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,30.3,35,0.0,-28.4,-33,0.0,0.0,1.0,92.8,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,10.7,35,0.0,-10.7,-33,0.0,0.0,1.0,91.9,0.0
OFF,1,9.6,0.0,0.0,1.0,0.0,-0.5,35,0.0,-0.0,-33,0.0,0.0,1.0,93.0,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.4,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.4,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,93.3,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.6,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,93.0,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.9,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.7,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.9,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,93.4,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.9,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.9,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.8,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,93.1,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,93.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.9,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,92.4,0.0
